animal,session,stim number,start,end,intensity,stim_duration
GIIFM19,video0coords.dat,1,1441,1691,0.5,10
GIIFM19,video0coords.dat,2,5148,5398,0.5,10
GIIFM19,video0coords.dat,3,6627,6877,0.5,10
GIIFM19,video0coords.dat,4,8124,8374,0.5,10
GIIFM19,video0coords.dat,5,9700,9950,0.5,10
GIIFM19,video1coords.dat,1,422,672,1,10
GIIFM19,video1coords.dat,2,2660,2910,1,10
GIIFM19,video1coords.dat,3,4161,4411,1,10
GIIFM19,video1coords.dat,4,5681,5931,1,10
GIIFM19,video1coords.dat,5,7185,7435,1,10
GIIFM19,video2coords.dat,1,667,917,5,10
GIIFM19,video2coords.dat,2,1869,2119,5,10
GIIFM19,video2coords.dat,3,3625,3875,5,10
GIIFM19,video2coords.dat,4,4914,5164,5,10
GIIFM19,video2coords.dat,5,6319,6569,5,10
GIIFM19,video3coords.dat,1,567,818,10,10
GIIFM19,video3coords.dat,2,2458,2708,10,10
GIIFM19,video3coords.dat,3,3990,4240,10,10
GIIFM19,video3coords.dat,4,5473,5723,10,10
GIIFM19,video3coords.dat,5,7320,7570,10,10
GIIFM19,video4coords.dat,1,747,997,15,10
GIIFM19,video4coords.dat,2,2709,2959,15,10
GIIFM19,video4coords.dat,3,4073,4324,15,10
GIIFM19,video4coords.dat,4,5622,5873,15,10
GIIFM19,video4coords.dat,5,7126,7376,15,10
GIIFM19,video5coords.dat,1,1545,2296,15,30
